Código Postal,Asentamiento,Tipo de Asentamiento,Municipio,Estado,Ciudad,Clave de Oficina
31100,Las Granjas,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31100,Militar,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31100,Lagos,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31100,Karike,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31100,Lomas Vallarta,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31100,Roma,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31100,Roma V,Condominio,Chihuahua,Chihuahua,Chihuahua,31001
31100,San Ignacio,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31100,Zaragoza,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31100,San Jorge,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31100,San Agustín,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31001
31104,Parral,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31104,Abraham González,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Altamira,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Basaseachi,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Brisas del Real,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Cerocahui,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Chihuahua I,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Esperanza,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Francisco I. Madero,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Insurgentes,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Miramar,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Riso Aros (Santa Clara),Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Rincón del Lago,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Rincón Parralense,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31104,Roma II,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Santa Bárbara,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Satélite,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Floresta Residencial,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31104,Versalles,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Chihuahua III,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Chihuahua II,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31104,Rincón de Zaragoza,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31104,Kafra,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31104,Lagos,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31104,San Jorge Norte,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31104,El Parralense,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31104,Privanza San Ángel,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31105,Zona Industrial Nombre de Dios,Zona industrial,Chihuahua,Chihuahua,Chihuahua,31102
31105,Adolfo López Mateos,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31105,Cosmos,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31105,Termoeléctrica Sector,Equipamiento,Chihuahua,Chihuahua,Chihuahua,31102
31105,Vicente Guerrero,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31105,Verde,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31105,Los Saúcos,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31106,Continental,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31106,Ángeles,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31106,San Guillermo,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31106,Reforma,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31106,San Vicente,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31106,Río Grande,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31106,Quintas del Río,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31106,Rincón Colonial,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31107,Panorámico,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31107,Los Frailes,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31107,San Pablo,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31110,El Saucito,Zona comercial,Chihuahua,Chihuahua,Chihuahua,31102
31110,Arboledas I,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31110,Arboledas IV,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31110,Colinas del Sol,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31110,Lomas del Sol II,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31110,San Andrés,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31110,Argentina,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31110,Saucito,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31110,Los Mezquites,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31110,Arboledas II,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
